Origin Countries,State Code,AUS,NZL,ASM,COK,FJI,PYF,GUM,KIR,MHL,FSM,NRU,NCL,NFK,MNP,NIU,PLW,PNG,WSM,SLB,TKL,TON,TUV,VUT,WLF,CHN,HKG,JPN,KOR,TWN,MAC,MNG,PRK,IDN,MYS,PHL,SGP,THA,VNM,BRN,KHM,LAO,MMR,TLS,BGD,IND,LKA,AFG,BTN,MDV,NPL,PAK,CAN,USA,MEX,BMU,GRL,SPM,COL,PER,VEN,BOL,ECU,ARG,BRA,CHL,URY,FLK,GUF,GUY,PRY,SUR,BLZ,CRI,SLV,GTM,HND,NIC,PAN,ATG,BHS,BRB,DMA,DOM,GRD,HTI,JAM,PRI,KNA,LCA,VCT,TTO,VIR,AIA,ABW,CYM,CUB,GLP,MTQ,MSR,ANT,TCA,VGB,AUT,BEL,DNK,FIN,FRA,DEU,GBR,GRC,IRL,ITA,LUX,NLD,PRT,ESP,SWE,CHE,ISL,LIE,NOR,AND,BIH,FRO,GIB,MKD,MCO,SMR,SCG,ALB,BGR,HRV,CYP,CZE,HUN,MLT,POL,ROM,SVK,SVN,EST,LVA,LTU,RUS,ARM,AZE,BLR,GEO,KAZ,KGZ,MDA,TJK,TKM,UKR,UZB,TUR,BHR,IRN,IRQ,ISR,JOR,KWT,LBN,PSE,OMN,QAT,SAU,SYR,ARE,YEM,MAR,TUN,DZA,EGY,LBY,BWA,ZAF,LSO,NAM,SWZ,MWI,MOZ,TZA,ZMB,ZWE,AGO,COD,MUS,SYC,MDG,UGA,BEN,BFA,BDI,CMR,CPV,CAF,TCD,COM,COG,CIV,DJI,GNQ,ERI,ETH,GAB,GMB,GHA,GIN,GNB,KEN,LBR,MLI,MRT,MYT,NER,NGA,REU,RWA,SHN,STP,SEN,SLE,SOM,SDN,TGO
Jamaica,JAM,747,136,0,0,4,32,12,0,8,0,1,0,0,2,0,0,10,3,0,0,13,0,2,0,373,1060,92,6,260,11,12,12,228,646,774,25,485,25,9,3,0,84,2,16,525,8,38,10,3,1513,11209,122342,570039,82,346,194,0,36,4,126,2,16,1301,46,23,0,0,30,0,2,3,367,854,1,6,32,33,536,2242,3124,768,39,197,161,370,0,707,87,81,142,43,350,327,64,5943,3933,688,148,4,1483,14,260,90,240,133,35,433,28333,146710,71,150,141,16,841,27,114,214,1034,15,3,108,11,6,24,5,2,35,49,3414,2,49,9,5,5,8,7,5,2,0,10,91,1,0,3330,43,0,77,53,66,193,193,232,121,1896,2611,22,136,34,84,1321,2406,5374,355,628,6,0,25,98,922,142,201,10,359,2,1004,2,738,5,34,9,52,99,29,35,288,23,2798,0,3,0,24,12,770,57,1,0,0,0,5,7,0,19,0,10,135,16,51,737,447,0,373,143,33,1,0,63,1397,13,9,1,0,12,0,16,0,88
Puerto Rico,PRI,67,32,0,0,7,56,186,0,15,0,0,0,0,38,0,0,17,4,1,0,23,0,3,0,608,1848,0,9,453,19,21,20,419,1126,1538,44,845,44,15,5,0,146,4,29,916,15,65,17,6,2546,18860,293,1443013,1722,597,405,0,318,94,545,38,154,2204,142,178,30,0,52,0,38,6,16,1489,18,57,147,45,333,32,10,34,81,4099,89,192,308,0,48,12,237,75,3964,289,111,25,691,1066,259,2,76,7,7,54,36,0,0,271,20332,576,29,24,30914,4,80,0,0,0,331,26,5,21,19,10,7,3,4,61,14,1009,3,86,15,1,7,0,12,5,3,0,16,158,2,0,5807,75,0,134,92,114,336,336,405,212,3190,4553,6,237,57,145,2304,4046,9371,610,1092,10,0,43,165,1550,244,350,17,625,3,1751,3,1287,9,60,16,87,172,50,58,500,39,4880,0,4,0,41,19,1257,99,1,0,0,0,9,11,0,34,0,17,228,28,89,1284,721,0,628,2,54,3,0,110,2350,22,15,1,0,20,0,28,0,153
Saint Kitts and Nevis,KNA,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40,1,0,10,0,0,0,8,24,28,1,18,1,0,0,0,3,0,1,20,0,1,0,0,54,401,2510,11486,287,12,4,0,0,4,4,0,1,47,3,0,0,0,1,0,0,0,0,32,0,0,1,1,1,268,10,51,94,35,82,174,7,26,0,19,5,2,7027,725,2,4,15,62,6,2,563,7,1484,4,0,1,1,7,1355,6533,6,0,2518,0,55,0,0,2,31,1,0,1,0,0,1,0,0,1,3,201,0,2,0,0,5,0,0,0,0,0,0,3,0,0,124,2,0,3,2,2,7,7,9,5,68,97,1,5,1,3,49,86,200,13,23,0,0,1,4,33,5,8,0,14,2,37,0,28,0,1,0,2,4,1,1,11,1,104,0,0,0,1,0,28,2,0,0,0,0,0,0,0,1,0,0,5,1,2,27,16,0,13,5,1,0,0,2,50,0,0,0,0,0,0,1,0,3
Saint Lucia,LCA,18,13,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,19,56,2,0,14,1,1,1,12,34,41,1,26,1,0,0,0,4,0,1,28,0,2,1,0,80,594,3260,13995,34,17,5,0,2,29,25,0,6,69,4,66,0,0,734,49,1,2,1,45,1,0,2,1,1,381,47,3821,140,130,149,319,10,37,81,0,212,976,3431,12,3,6,21,856,8644,3,2,12,262,5,5,1,1,164,1614,8282,1,6,8,0,42,0,131,28,93,1,0,5,1,0,1,0,0,2,3,198,0,3,0,0,2,0,0,0,0,0,1,5,0,0,177,2,0,4,3,3,10,10,12,6,100,139,5,7,2,5,70,128,285,19,33,0,0,1,5,49,8,11,1,19,0,53,0,39,0,2,0,3,5,2,2,15,1,148,0,0,0,1,1,41,3,0,0,0,0,0,0,0,1,0,1,7,1,3,39,24,0,20,8,2,0,0,3,74,1,0,0,0,1,0,1,0,5
Saint Vincent and the Grenadines,VCT,35,13,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,21,63,0,0,15,1,1,1,14,38,46,1,29,2,1,0,0,5,0,1,31,0,2,1,0,90,667,8895,20543,1,20,8,0,0,1,97,0,1,77,5,5,0,0,2,0,1,0,3,51,1,0,10,1,1,516,18,4217,94,1,115,245,11,42,62,106,0,8384,3,12,4,16,24,92,9,3,127,9,999,5,1,0,2,22,1467,7107,115,2,1,0,43,0,11,13,53,1,0,2,1,0,1,0,0,2,2,169,0,3,1,1,1,0,0,0,0,0,1,5,0,0,198,3,0,5,3,4,11,11,14,7,113,156,0,8,2,5,79,143,320,21,37,0,0,2,6,55,8,12,1,21,0,60,0,44,0,2,1,3,6,2,2,17,1,167,0,0,0,1,1,46,3,0,0,0,0,0,0,0,1,0,1,8,1,3,44,27,0,22,9,2,0,0,4,83,1,1,0,0,1,0,1,0,5
Trinidad and Tobago,TTO,1159,144,0,0,1,11,4,0,3,0,1,0,0,1,0,0,4,1,0,0,5,0,1,0,129,375,21,2,92,4,4,4,81,229,274,9,172,9,3,1,0,30,1,6,186,3,14,4,1,535,3965,65481,203647,27,124,75,0,30,5,2590,11,22,460,29,12,7,0,13,80,1,5,33,302,2,1,7,25,57,404,265,2014,92,47,72,13,277,250,39,399,2526,0,2114,60,23,180,140,251,53,2,77,6,197,17,77,145,15,311,5899,21355,12,188,71,9,486,15,101,249,321,5,1,288,4,2,4,1,1,12,8,565,1,18,3,4,2,1,2,3,1,0,3,32,0,0,1179,15,0,27,19,23,68,68,82,43,671,924,5,48,12,30,468,851,1902,125,222,2,0,9,35,326,50,71,4,127,1,355,1,261,2,12,3,18,35,10,12,102,8,991,0,1,0,9,4,272,20,0,0,0,0,2,2,0,7,0,3,48,6,18,261,158,0,132,51,12,1,0,22,494,5,3,0,0,4,0,6,0,31
"Virgin Islands, U.S.",VIR,8,4,0,0,0,2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,25,76,0,0,19,1,1,1,16,47,53,2,35,2,1,0,0,6,0,1,38,1,3,1,0,104,769,40,57186,551,24,16,0,0,37,1,0,1,90,6,0,0,0,2,0,1,0,1,61,1,0,2,1,13,420,5,7,6,221,19,40,13,436,10,455,10,3,0,12,5,0,29,51,11,0,170,2,541,2,4,0,0,4,848,135,15,2,1298,0,11,0,0,0,14,1,0,3,1,0,0,0,0,3,1,45,0,4,1,0,0,0,0,0,0,0,1,7,0,0,240,3,0,6,4,5,14,14,17,9,130,188,5,10,2,6,95,165,387,25,45,0,0,2,7,63,10,14,1,26,0,72,0,53,0,2,1,4,7,2,2,21,2,202,0,0,0,2,1,53,4,0,0,0,0,0,0,0,1,0,1,9,1,4,53,31,0,26,10,2,0,0,5,96,1,1,0,0,1,0,1,0,6
Anguilla,AIA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,1,3,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,6,46,145,1053,4,1,0,0,0,2,0,0,0,5,0,17,0,0,0,0,0,0,0,4,0,0,0,0,1,24,0,8,3,65,14,30,1,3,8,37,1,0,1097,0,0,0,2,9,1,0,555,1,0,0,0,0,0,7,126,499,17,0,229,0,19,2,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,10,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,1,1,1,8,11,6,1,0,0,6,11,23,2,3,0,0,0,0,4,1,1,0,2,0,4,0,3,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Aruba,ABW,39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,3,0,0,0,35,9,298,0,6,2,0,0,0,1,0,0,7,0,0,0,0,19,143,650,5080,8,4,2,0,76,7,390,4,1,17,1,3,0,0,1,0,0,1,0,11,0,0,0,0,10,3,0,10,5,154,27,58,2,9,15,25,2,1,1,3,0,0,5,21,2,1,3226,2,0,1,0,0,0,11,305,3,93,5,539,1,951,13,0,0,6,0,0,8,0,0,0,0,0,0,1,37,0,1,0,0,1,2,0,0,0,0,0,1,0,0,44,1,0,1,1,1,3,3,3,2,24,34,4,2,0,1,17,31,71,5,8,0,0,0,1,12,2,3,0,5,0,13,0,10,0,0,0,1,1,0,0,4,0,37,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,2,0,1,10,5,0,5,0,0,0,0,1,18,0,0,0,0,0,0,0,0,1
Cayman Islands,CYM,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,1,3,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,6,43,140,2263,11,1,1,0,0,2,1,0,0,5,0,1,0,0,0,0,0,0,1,4,0,0,101,0,8,29,7,4,1,6,4,9,201,3,2,6,1,0,136,1,0,0,2,4,1,0,118,0,0,0,1,0,0,0,106,370,10,33,190,0,8,0,0,0,2,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,1,1,1,7,11,2,1,0,0,5,9,22,2,3,0,0,0,0,4,1,1,0,1,0,4,0,3,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
