Origin Countries,State Code,AUS,NZL,ASM,COK,FJI,PYF,GUM,KIR,MHL,FSM,NRU,NCL,NFK,MNP,NIU,PLW,PNG,WSM,SLB,TKL,TON,TUV,VUT,WLF,CHN,HKG,JPN,KOR,TWN,MAC,MNG,PRK,IDN,MYS,PHL,SGP,THA,VNM,BRN,KHM,LAO,MMR,TLS,BGD,IND,LKA,AFG,BTN,MDV,NPL,PAK,CAN,USA,MEX,BMU,GRL,SPM,COL,PER,VEN,BOL,ECU,ARG,BRA,CHL,URY,FLK,GUF,GUY,PRY,SUR,BLZ,CRI,SLV,GTM,HND,NIC,PAN,ATG,BHS,BRB,DMA,DOM,GRD,HTI,JAM,PRI,KNA,LCA,VCT,TTO,VIR,AIA,ABW,CYM,CUB,GLP,MTQ,MSR,ANT,TCA,VGB,AUT,BEL,DNK,FIN,FRA,DEU,GBR,GRC,IRL,ITA,LUX,NLD,PRT,ESP,SWE,CHE,ISL,LIE,NOR,AND,BIH,FRO,GIB,MKD,MCO,SMR,SCG,ALB,BGR,HRV,CYP,CZE,HUN,MLT,POL,ROM,SVK,SVN,EST,LVA,LTU,RUS,ARM,AZE,BLR,GEO,KAZ,KGZ,MDA,TJK,TKM,UKR,UZB,TUR,BHR,IRN,IRQ,ISR,JOR,KWT,LBN,PSE,OMN,QAT,SAU,SYR,ARE,YEM,MAR,TUN,DZA,EGY,LBY,BWA,ZAF,LSO,NAM,SWZ,MWI,MOZ,TZA,ZMB,ZWE,AGO,COD,MUS,SYC,MDG,UGA,BEN,BFA,BDI,CMR,CPV,CAF,TCD,COM,COG,CIV,DJI,GNQ,ERI,ETH,GAB,GMB,GHA,GIN,GNB,KEN,LBR,MLI,MRT,MYT,NER,NGA,REU,RWA,SHN,STP,SEN,SLE,SOM,SDN,TGO
Cuba,CUB,410,32,0,0,4,38,13,0,10,0,0,0,0,2,0,0,12,3,1,0,16,0,2,0,427,1234,78,7,303,13,14,14,326,752,1446,29,564,32,10,4,0,98,3,19,612,10,45,12,4,1762,13050,5412,888280,6558,408,252,0,710,360,9621,467,903,1515,1075,3176,338,0,52,1,245,29,137,994,43,370,689,748,1653,12,92,46,67,3191,120,4951,2453,823,65,44,159,50,49,194,74,373,0,767,173,3,2048,10,5,53,647,241,149,1815,18265,1308,216,135,9569,32,727,399,50765,1686,1488,18,3,405,13,7,12,3,2,41,24,1681,6,58,10,11,500,329,8,192,7,66,11,106,4,20,3878,50,0,90,61,76,224,224,270,141,2207,3041,43,158,39,98,1538,2803,6258,414,732,7,0,29,115,1074,165,236,12,421,13,1169,2,860,6,40,11,60,115,33,40,335,26,3259,0,3,7,28,13,870,69,1,0,0,0,6,124,0,23,0,12,161,19,59,858,494,0,443,1,37,4,0,73,1626,15,10,1,0,14,0,19,0,102
Guadeloupe,GLP,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,30,0,5,7,1,0,0,0,1,1,0,0,4,0,8,0,0,0,0,0,0,0,2,0,4,0,0,17,44,0,6,220,45,17,35,0,2,9,75,0,0,1509,1,0,0,1,0,0,0,204,1,0,0,0,0,0,0,56,1,0,0,97,0,169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,1,0,5,7,0,0,0,0,4,6,15,1,2,0,0,0,0,2,0,1,0,1,0,3,0,2,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Martinique,MTQ,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,1,2,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,5,40,0,7,8,1,0,0,1,2,29,0,1,5,0,0,0,0,0,0,0,0,0,3,0,1,0,0,11,3,0,9,220,24,23,49,1,3,13,1009,1,0,1466,1,0,2,1,13,0,1,198,2,0,0,0,0,0,0,52,1,0,0,83,0,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,1,1,0,7,10,0,1,0,0,5,9,20,1,2,0,0,0,0,3,1,1,0,1,0,4,0,3,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Montserrat,MSR,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,4,0,0,0,4,11,12,0,8,0,0,0,0,1,0,0,9,0,1,0,0,24,179,610,4077,128,5,1,0,0,9,0,0,0,21,1,1,0,0,0,0,0,0,0,15,0,0,1,0,0,639,0,14,177,6,13,27,3,12,7,25,2,1,23,198,1,2,7,16,3,0,490,1,0,4,0,0,0,6,1315,7996,2,3,2554,0,4,4,0,0,27,0,0,0,0,0,2,0,0,1,3,228,0,1,0,0,4,0,0,0,0,0,0,2,0,0,57,1,0,1,1,1,3,3,4,2,30,45,0,2,1,1,23,38,92,6,11,0,0,0,2,15,2,3,0,6,0,17,0,13,0,1,0,1,2,0,1,5,0,48,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,2,0,1,13,7,0,6,2,1,0,0,1,22,0,0,0,0,0,0,0,0,2
Netherlands Antilles,ANT,117,43,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38,116,0,1,28,1,1,1,25,71,82,3,53,3,1,0,0,9,0,2,57,1,4,1,0,160,1182,555,3949,14,33,1,0,49,57,759,214,15,138,9,5,0,3,4,0,1,2,2,93,1,0,4,2,141,31,1,2,5,25,6,13,19,77,3,299,15,5,4,140,7,7,43,67,16,0,0,0,0,46,278,0,1,83,13151,1276,11,8,25873,10,82988,126,0,0,277,2,0,34,1,1,17,3,0,4,34,2372,0,5,1,1,3,1,1,2,0,1,1,10,0,0,364,5,0,8,6,7,21,21,25,13,200,285,9,15,4,9,144,254,587,39,68,1,0,3,10,97,15,22,1,39,0,110,0,81,1,4,1,5,11,3,4,31,2,306,0,0,0,3,1,79,6,0,0,0,0,1,1,0,2,0,1,14,2,6,80,45,0,39,0,3,0,0,7,147,1,1,0,0,1,0,2,0,10
Turks and Caicos,TCA,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,29,10,1480,20,1,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,404,4,1,1,6,12,150,2,3,6,0,0,62,1,0,4,1,4,0,0,78,0,0,0,0,0,0,5,40,56,1,1,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,1,0,5,7,0,0,0,0,4,6,15,1,2,0,0,0,0,2,0,1,0,1,0,3,0,2,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Virgin Islands, British ",VGB,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,2,0,0,0,2,6,6,0,4,0,0,0,0,1,0,0,5,0,0,0,0,13,93,40,2241,67,3,1,0,0,5,0,0,0,11,1,0,0,0,0,0,0,0,0,7,0,0,0,0,13,57,10,18,7,6,37,78,2,6,20,19,1,0,2682,2,1,0,3,23,1,1,1817,3,0,0,4,0,0,0,126,165,8,0,204,0,6,0,0,0,2,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,4,2,0,0,0,4,0,1,0,0,29,0,0,1,0,1,2,2,2,1,16,23,76,1,0,1,11,28,47,6,6,0,0,0,1,11,2,2,0,3,0,9,0,6,0,0,0,0,1,0,0,2,0,24,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,0,3,1,0,0,0,1,12,0,0,0,0,0,0,0,0,1
Austria,AUT,19313,1202,2,4,3,15,5,5,4,0,19,125,1,1,0,1,11,1,1,0,5,0,1,4,182,278,293,3,120,5,6,6,905,297,7469,51,223,42,4,10,1,39,10,8,156,4,17,5,1,689,5107,22586,70608,492,15,26,0,206,184,761,133,174,1389,2565,530,248,1,34,0,141,10,10,71,5,2,21,45,55,1,18,4,2,451,11,24,3,325,6,0,3,20,7,2,29,26,183,203,124,0,3,1,2,0,3166,1464,312,13019,143047,19822,2254,536,10314,632,6746,391,4100,5967,55366,75,2006,1042,5,3,37,19,1,16,74,5163,62,23,1550,99,7358,3716,15,4407,198,808,261,42,40,46,1533,20,0,35,24,30,89,89,107,56,869,1202,14335,50,39,186,2905,2786,2473,781,333,26,0,29,114,1067,312,252,13,451,802,462,1,1911,4,135,27,98,231,91,69,738,58,1288,4,5,27,23,5,346,31,75,5,0,12,5,31,300,10,0,5,68,7,23,339,198,2,187,16,15,1,0,29,317,48,10,0,1,22,3,9,0,40
Belgium,BEL,4900,515,0,4,3,15,5,4,4,0,5,118,0,1,0,0,11,1,1,0,5,0,1,1,188,272,324,3,117,5,5,6,515,292,3993,50,219,27,4,10,1,38,5,7,153,4,17,4,1,675,4998,20991,41752,726,13,18,0,340,308,376,296,258,1359,1124,845,191,0,32,0,116,8,4,69,5,2,29,44,44,1,17,4,2,229,9,20,3,319,5,0,3,19,7,2,29,7,179,198,121,0,3,1,2,1677,0,1249,206,133400,65281,22067,4673,1144,5603,14780,46003,2879,28200,1356,11677,87,13,909,326,3,47,21,1,699,94,6537,16,22,75,74,755,520,15,2821,137,179,20,41,10,27,1503,19,0,35,24,30,87,87,105,55,851,1179,8751,49,28,118,929,1999,2426,497,308,23,0,21,82,766,199,241,12,430,753,453,1,1870,4,132,26,96,227,89,68,722,57,1263,4,5,154,24,5,349,41,73,5,0,12,4,31,294,14,0,7,81,7,23,332,204,2,223,15,15,67,0,28,310,47,468,0,1,21,3,11,0,40
Denmark,DNK,9024,1435,1,2,2,8,3,3,2,0,10,64,0,1,0,1,6,1,1,0,3,0,0,2,135,143,311,2,61,3,3,4,504,152,3861,26,437,23,2,5,0,20,5,4,80,33,9,2,1,355,2626,18400,34089,238,8,15,0,94,54,117,66,57,711,361,221,48,2,16,0,21,3,8,36,2,1,21,46,39,16,31,2,1,33,4,10,1,167,2,0,1,10,4,1,15,11,94,103,63,0,1,0,1,1157,2973,0,708,5864,35343,18869,831,698,2595,1526,3232,387,5749,40921,4530,2476,25,19756,3,1,20,10,0,8,40,2820,8,12,39,48,136,100,8,717,72,17,7,21,1214,89,786,10,0,18,12,15,45,45,55,29,445,616,3372,26,13,51,486,923,1268,215,158,12,0,10,38,354,86,110,5,196,312,237,0,978,2,69,14,50,119,700,35,378,30,660,2,3,14,13,3,177,28,38,3,0,6,2,16,154,9,0,5,51,4,12,174,101,1,140,8,8,0,0,15,162,24,5,0,1,11,2,8,0,21
Finland,FIN,8258,373,1,3,3,11,4,3,3,0,8,93,0,1,0,1,9,1,1,0,4,0,1,2,214,212,512,3,91,4,4,7,291,226,2121,39,170,17,3,8,1,29,3,6,119,3,13,3,1,524,3883,14396,22902,126,10,10,0,36,54,62,38,41,1056,132,130,11,0,23,0,3,3,1,54,4,1,19,20,13,16,1,2,1,21,6,13,2,248,3,0,2,15,5,1,22,6,139,153,94,0,2,0,1,1428,2761,3575,0,3771,47176,11653,851,690,2380,709,2379,312,5378,189341,4620,151,2,7029,4,2,39,16,1,12,78,5429,13,17,58,140,332,343,11,212,107,11,0,1381,1085,66,1168,15,0,27,18,23,68,68,81,43,661,916,1672,38,14,47,722,1034,1885,196,225,17,0,11,42,396,78,102,5,182,158,352,1,1453,3,103,21,74,176,680,53,561,44,981,3,4,21,19,4,263,34,57,4,0,9,3,24,228,12,0,6,67,6,18,258,150,1,184,12,11,1,0,22,241,36,7,0,1,17,2,10,0,31
France,FRA,17272,1629,3,14,13,23183,20,16,15,0,39,457,1,4,0,3,43,14,5,1,19,0,285,8,1675,1051,3768,1167,447,19,21,54,757,1110,3121,190,1343,58,15,823,3,144,8,28,1371,496,70,19,6,2656,19672,80968,204420,5629,53,82,682,1568,983,3529,419,739,6578,6696,3066,902,3,8867,3,402,54,8,265,18,144,161,117,320,42,116,122,57,1180,324,695,10,1215,175,31,11,74,26,12,110,20,682,15534,21834,7,191,27,7,6318,151976,4038,1089,0,187296,97359,6732,6824,31061,18890,18678,95282,156681,6155,100883,303,66,3077,5715,10,124,69,4,9077,248,17335,147,85,425,260,3633,1738,56,34871,633,1393,107,156,94,198,5723,73,0,132,91,113,331,331,399,209,3266,4488,16048,190,118,518,28100,8416,9237,2179,1192,449,0,88,344,3224,870,1788,3865,3195,3459,1726,3,7180,54,503,101,3248,864,339,675,26305,2074,4810,844,164,20065,184,170,10975,1103,289,19,2233,46,7807,15050,28929,377,29,191,1601,9665,87,1266,10323,99,4415,644,773,1490,0,108,1305,76694,36,13,46,23223,12,307,0,6173
Germany,DEU,108220,8398,9,26,32,134,48,41,35,0,107,1111,3,11,0,8,628,56,13,2,48,1,7,21,2109,2614,3407,953,1080,45,50,69,1872,2686,10483,472,2531,144,36,119,8,349,20,68,2577,216,167,44,15,6537,48418,191148,1241903,5529,170,403,1,2357,1544,3990,1281,1383,10362,15617,5505,1599,9,304,3,1828,73,61,662,44,358,331,313,422,7,182,34,16,2377,86,195,24,2939,47,31,26,179,65,15,266,69,1649,1896,1159,2,25,8,17,140817,83387,26559,3582,230162,0,268005,101446,8786,43925,12892,123110,24283,135638,40217,186356,1224,1131,12899,472,21,198,155,4,146,395,27604,469,206,8246,735,9647,10173,185,102347,1657,735,475,378,2801,1637,13849,1149,0,3372,2190,172727,8023,801,966,505,42617,10860,273535,473,566,2984,29395,40429,22350,12541,3411,271,0,425,1652,15486,5009,2998,150,5357,10850,4176,8,17931,41,1216,243,933,2092,4235,761,7010,553,11639,352,47,519,222,56,3625,344,703,47,0,116,43,240,2815,118,1,60,726,67,212,3063,2219,17,2003,2018,166,34,0,262,2980,449,90,4,12,210,68,96,0,801
United Kingdom,GBR,1036245,218410,99,110,884,140,50,177,37,0,1137,1505,84,11,0,85,2389,36,79,9,49,14,103,220,4017,2641,10411,1244,1127,47,52,131,17663,2803,148059,479,3217,751,2840,275,8,364,188,71,5840,481,183,48,16,6760,50076,624313,823916,2663,4846,408,7,1232,642,234,376,681,13115,3224,1579,489,925,284,54,151,37,263,667,46,126,117,39,324,559,1412,3465,449,272,190,414,2660,3067,103,1701,655,2090,65,337,277,1678,1721,1958,1170,4,164,164,420,7219,26177,13615,2731,90382,211305,0,13331,248528,27347,3194,45700,10068,107794,16428,28014,824,33,14355,1245,25,120,3607,9,1511,239,16683,82,215,724,10294,1445,1187,3050,2760,1227,91,99,394,1582,252,14451,185,0,334,703,285,836,836,1008,527,8298,11332,18945,477,239,948,18900,17084,23322,3986,2901,9533,0,24666,698,6544,1592,1553,78,2774,3423,4357,8,18050,43,1269,254,1081,2183,3878,4388,8258,651,12145,566,55,314,1989,57,3692,377,708,49,27,117,43,296,2834,129,1,65,760,69,221,3196,2292,17,2096,2496,172,6,0,274,3000,459,90,4,12,213,309,105,47,382
Greece,GRC,116431,945,9,7,7,30,11,20,8,0,106,276,3,2,0,8,23,2,3,1,10,1,2,21,257,562,165,4,241,10,11,8,342,600,1783,102,450,29,8,20,2,78,4,15,315,8,35,9,3,1392,10313,76902,178253,298,34,72,0,109,84,725,4,39,2804,2185,204,196,1,62,0,13,10,1,142,10,4,16,9,228,1,45,6,3,44,15,34,5,657,8,1,6,40,14,3,59,1,368,406,250,0,5,1,4,3234,15089,1066,468,12699,264659,35621,0,349,11705,876,7375,125,1132,10853,7353,15,82,640,10,5,51,34,21,33,102,7133,55,46,155,6705,1806,1228,30,2876,3115,26,2,84,35,12,3094,3109,0,71,1785,6207,179,179,216,113,3789,2426,59217,102,132,709,13400,9452,4993,2981,773,62,0,99,386,3620,1191,478,24,854,1464,933,2,3859,9,272,54,197,467,183,140,1490,117,2600,9,10,55,47,11,698,62,151,11,0,25,9,63,606,21,0,11,138,15,47,684,399,4,380,32,30,1,0,59,640,96,19,1,3,44,7,17,16,82
Ireland,IRL,50235,6730,4,8,7,31,11,13,8,0,52,266,2,2,0,4,24,2,3,1,11,1,2,10,382,580,618,6,250,10,12,12,334,621,1668,106,466,29,8,21,2,81,4,16,326,8,36,10,3,1437,10645,26432,164536,165,31,54,0,44,108,71,23,68,2895,175,119,6,5,61,0,8,6,7,147,10,4,5,13,24,1,57,6,3,24,17,37,5,680,9,1,6,41,14,3,61,128,381,420,258,0,6,10,4,846,2999,1091,200,5686,95394,537885,503,0,3327,660,4425,533,4342,1349,3369,62,5,503,10,6,91,42,2,34,181,12669,4,48,160,219,67,48,31,78,253,2,0,87,3,16,3202,41,0,74,51,63,185,185,223,117,1812,2511,538,105,34,92,1979,2425,5168,386,607,46,0,26,99,929,154,218,11,389,126,965,2,3983,9,281,56,204,484,189,144,1538,121,2691,9,10,57,48,11,720,64,156,11,0,26,9,65,625,22,0,11,142,15,49,708,412,4,391,33,31,1,0,61,661,100,20,1,3,45,7,18,0,85
Italy,ITA,218718,1455,17,26,25,106,38,48,28,0,200,919,6,8,0,15,82,7,11,2,37,2,6,39,1054,1996,1128,17,856,36,40,34,1160,2128,6823,364,658,99,28,48,6,276,12,54,1118,36,124,33,11,4948,36650,319236,536731,3731,117,241,7,2566,2322,50922,734,2031,216718,43984,4157,9787,1,523,25,509,531,12,506,200,206,294,157,571,9,78,30,14,3274,78,173,19,2329,42,6,20,142,50,11,211,47,1307,1455,889,2,78,7,14,26845,132467,3368,959,437706,587850,109177,5954,3721,0,12300,17207,1958,26620,6584,239185,130,1028,1521,208,32,222,129,7,5688,443,30954,41,163,1707,137,1035,940,380,4354,1780,117,444,299,26,37,10973,141,0,253,433,216,635,635,765,400,6285,8605,2844,362,118,324,6780,8450,17708,1363,2084,156,0,89,345,3236,544,2005,1620,3581,5217,3308,6,13712,31,964,193,708,1657,1467,498,5342,421,9222,198,36,468,167,40,2600,239,538,294,0,89,33,225,2153,82,1,41,515,53,168,2427,1539,13,1419,550,115,60,0,208,2277,343,69,3,9,158,24,66,0,290
Luxembourg,LUX,141,30,0,0,0,1,1,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,12,27,8,0,12,0,1,0,11,29,35,5,22,1,0,1,0,4,0,1,15,0,2,0,0,67,493,560,2695,15,1,1,0,5,5,4,4,8,134,2,16,8,0,3,0,0,0,0,7,0,0,0,0,2,0,1,0,0,13,1,2,0,31,0,0,0,2,1,0,3,0,18,19,12,0,0,0,0,532,10459,245,32,10585,9204,1268,99,85,230,0,827,3313,1029,139,1545,81,6,93,0,0,5,2,0,2,11,760,1,2,7,3,15,17,1,126,12,0,0,4,0,8,148,2,0,3,2,3,9,9,10,5,84,116,46,5,2,4,92,114,239,19,28,2,0,1,5,44,7,10,1,18,5,45,0,184,0,13,3,9,22,9,7,71,6,125,0,0,3,2,1,33,3,7,1,0,1,0,3,29,1,0,1,7,1,2,33,19,0,18,2,1,0,0,3,31,5,1,0,0,2,0,1,0,4
Netherlands,NLD,83324,22242,8,6,6,25,9,18,7,0,96,236,3,2,0,7,357,2,3,1,9,1,2,19,339,477,604,5,205,9,10,11,357,510,1667,87,406,27,352,91,2,66,4,13,268,7,30,8,3,1180,8741,119311,106003,764,29,63,0,399,194,591,16,257,2377,2795,599,109,4,55,1,44,12,11,121,8,79,103,98,108,5,26,27,12,270,71,152,5,558,38,25,5,34,12,4,50,20,313,372,212,2,7049,6,3,5411,97165,4833,731,29543,101515,40861,3087,3516,8007,3294,0,3250,23153,5150,17762,174,57,4393,323,5,48,30,2,28,96,6729,10,39,131,137,549,513,26,979,216,32,45,72,6,30,2628,34,0,61,42,52,152,152,183,96,1488,2061,21823,86,60,276,1624,4289,4240,1161,558,1367,0,45,175,1643,464,397,20,709,1196,792,1,3271,7,231,46,167,397,155,118,1263,100,2208,7,8,47,39,11,711,52,128,90,0,21,8,54,513,18,0,9,116,13,40,581,457,3,321,650,34,27,0,50,544,82,16,1,2,39,6,15,0,69
Portugal,PRT,15441,148,1,15,15,63,22,15,16,0,15,506,0,5,0,1,48,4,6,1,22,0,3,3,652,1170,368,10,503,445,23,21,404,1251,1753,213,143,48,17,42,4,162,4,32,187,16,71,19,6,2876,21302,155984,212318,270,1750,104,1,589,57,54414,28,759,5840,170210,413,680,0,343,17,42,371,4,297,20,15,12,12,137,3,7,15,7,75,39,86,11,1369,21,1,12,83,29,6,164,2,768,849,521,1,1005,3,8,1473,21371,686,141,619847,234840,37910,302,601,5901,41722,10218,0,56359,2533,104159,116,446,769,8873,11,157,81,4,68,314,21935,6,96,322,19,39,28,63,70,508,4,0,176,4,3,6451,83,0,149,102,127,373,373,450,235,3656,5059,225,212,67,178,3986,4806,10411,747,1221,92,0,51,196,1841,298,399,20,713,55,1945,4,8037,45,566,113,2446,55520,382,571,19729,1555,5421,18,123,115,99,29,1846,155,315,1656,0,52,19,776,1262,53,1,27,322,31,99,1427,1220,766,887,67,91,3,0,122,1338,304,40,2,814,98,14,43,0,170
Spain,ESP,12662,344,1,11,10,44,16,10,11,0,12,353,0,3,0,1,34,3,4,0,15,0,2,2,619,817,1183,10,350,15,16,20,366,871,1420,149,654,36,12,29,3,113,4,22,457,11,51,13,4,2022,14977,10788,114332,20545,37,41,23,4635,3107,77230,1450,2946,134417,34855,9281,20732,3,363,22,978,461,13,207,437,738,593,465,2477,1,41,19,9,3438,49,106,8,953,26,1,8,58,20,5,86,15,535,603,363,1,48,4,6,2442,36840,2851,779,365909,178383,55440,979,4640,22040,2143,18279,13966,0,5470,63931,176,367,1788,34382,8,111,2077,3,47,222,15527,9,67,225,44,170,139,44,1125,360,30,0,122,6,22,4491,58,0,104,71,88,260,260,313,164,2550,3522,1209,148,48,133,2775,3458,7248,559,853,64,0,36,141,1325,223,371,19,664,507,1354,3,5604,13,394,79,287,678,266,203,2163,171,3774,12,14,80,68,17,1122,93,220,15,0,36,13,92,880,32,164,16,203,22,69,993,688,5,561,623,51,92,0,85,931,140,28,1,4,66,10,26,0,119
Sweden,SWE,6818,961,1,2,2,9,3,3,2,0,7,78,0,1,0,1,7,1,1,0,3,0,0,1,275,178,798,4,76,3,4,9,197,190,832,32,670,12,3,6,1,25,2,5,100,295,12,3,1,454,3363,7726,54466,422,10,18,0,156,125,146,126,110,884,571,1253,301,0,21,0,31,6,1,45,3,26,35,46,51,28,27,2,1,173,6,14,2,207,3,0,2,13,4,1,19,5,116,129,79,0,2,1,1,3300,3991,18706,28040,9261,34839,22747,5429,1317,4475,989,3642,741,9424,0,7400,1679,22,32940,69,2,26,13,1,10,52,3611,13,15,259,258,210,394,10,722,92,23,27,27,1642,53,977,13,0,23,15,19,57,57,68,36,554,766,5335,32,18,74,604,1264,1577,310,199,15,0,13,52,484,124,139,7,248,400,295,1,1217,3,86,17,62,148,1168,44,470,37,821,3,3,17,17,10,618,40,48,3,0,8,3,20,191,14,0,7,71,5,15,216,521,1,195,2440,39,0,0,19,207,30,6,0,1,20,2,11,0,26
Switzerland,CHE,10753,2765,1,3,3,14,5,4,4,0,12,113,0,1,0,1,10,1,0,0,5,0,1,2,273,254,677,4,109,5,5,9,380,271,2033,46,997,22,4,9,1,35,4,7,142,68,16,4,1,632,4678,21596,49489,1468,13,20,0,645,516,615,383,580,1265,2351,997,249,0,8,1,275,13,10,64,4,85,70,80,166,1,129,5,2,1000,14,30,2,296,7,0,3,18,6,2,27,41,166,7,10,0,2,1,2,11843,4274,1910,615,80866,63703,16346,3569,885,20773,795,5792,12897,53484,2557,0,83,3805,1509,99,2,39,7,1,15,78,5459,9,21,755,107,385,616,6,520,120,51,51,38,6,21,1397,18,0,32,22,28,81,81,97,51,792,1095,10369,46,29,130,863,2086,2254,545,292,22,0,22,85,799,218,480,24,858,1987,421,1,1741,4,123,25,89,211,83,63,672,53,1174,4,4,307,21,6,367,33,68,5,0,11,4,29,273,11,0,6,69,7,21,309,232,2,190,322,17,15,0,26,290,44,9,0,1,21,3,9,0,37
Iceland,ISL,463,84,0,0,0,1,0,0,0,0,1,9,0,0,0,0,1,0,0,0,0,0,0,0,16,20,31,0,9,0,0,1,36,22,277,4,16,2,0,1,0,3,0,1,11,0,1,0,0,50,371,500,9809,16,1,3,0,4,18,4,3,6,101,2,11,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,7,0,1,0,24,0,0,0,1,1,0,2,0,13,0,1,0,0,0,0,144,164,5855,120,356,2725,1576,32,55,189,310,385,34,306,3811,207,0,1,3941,0,0,3,1,0,1,6,386,0,2,6,10,20,5,1,42,9,1,0,3,0,6,112,1,0,3,2,2,6,6,8,4,63,88,43,4,1,3,69,87,180,14,21,2,0,1,4,33,6,12,1,21,25,34,0,139,0,10,2,7,17,7,5,54,4,94,0,0,1,2,0,25,2,5,0,0,1,0,2,22,1,0,0,5,1,2,25,14,0,14,1,1,0,0,2,23,3,1,0,0,2,0,1,0,3
Liechtenstein,LIE,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,1,0,0,0,1,3,4,1,2,0,0,0,0,0,0,0,2,0,0,0,0,7,51,50,70,1,0,0,0,0,4,0,1,2,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,329,6,12,0,131,569,28,6,1,33,4,3,5,57,2,3158,0,0,5,0,0,1,0,0,0,1,83,0,0,1,0,1,7,0,3,1,7,0,0,0,0,15,0,0,0,0,0,1,1,1,1,9,12,0,1,0,0,9,11,25,2,3,0,0,0,0,4,1,1,0,2,2,5,0,19,0,1,0,1,2,1,1,7,1,13,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,1,0,0,3,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Norway,NOR,4324,466,0,1,1,6,2,2,2,0,4,48,0,0,0,0,4,0,0,0,2,0,0,1,114,109,280,2,47,2,2,4,699,116,5290,20,805,30,2,4,0,15,7,3,61,12,7,2,1,269,1991,6505,36389,132,6,12,0,46,62,78,69,71,540,114,325,12,0,1,0,15,2,3,27,2,1,13,37,7,14,9,1,0,31,2,5,1,127,1,0,1,8,3,1,11,0,71,1,4,0,7,0,1,792,1295,16386,954,3036,14853,13928,460,442,1223,155,2499,283,5922,45087,2123,908,10,0,2,1,15,3,0,6,30,2108,3,9,30,57,107,288,3,320,50,9,0,16,2,38,597,8,0,14,9,12,35,35,42,22,338,468,3554,20,11,48,369,802,963,200,122,9,0,8,33,307,80,60,3,107,119,180,0,744,2,52,10,38,90,35,27,287,23,502,2,2,3,9,2,134,12,29,2,0,5,2,12,117,4,0,2,26,3,9,132,77,1,72,6,6,0,0,11,123,19,4,0,1,8,1,3,0,16
